pair,pvalue,cointegrated
"('UAL', 'JNJ')",0.0011941789662786627,True
"('PNC', 'DOW')",0.001195369461449698,True
"('PCAR', 'CRH')",0.001198529561597107,True
"('HAL', 'GEHC')",0.0012028370300811875,True
"('DAL', 'JNJ')",0.001204940083669176,True
"('SCHW', 'CRL')",0.0012132250066447924,True
"('IQV', 'SW')",0.001216719591741387,True
"('CBOE', 'WELL')",0.0012246745989024908,True
"('V', 'ROP')",0.0012280123423376566,True
"('SBAC', 'SRE')",0.0012334848307884276,True
"('HWM', 'DDOG')",0.0012335018388332072,True
"('COST', 'INTC')",0.0012337903759858193,True
"('STX', 'ADSK')",0.0012404250240227804,True
"('BBY', 'PM')",0.0012430129321418773,True
"('IR', 'LRCX')",0.001244973038769953,True
"('COO', 'KR')",0.0012463029548976919,True
"('CME', 'FANG')",0.001246508237112975,True
"('FITB', 'DOW')",0.001246982245898265,True
"('ESS', 'NCLH')",0.001251480132307341,True
"('SBUX', 'DGX')",0.0012518823574343375,True
"('LDOS', 'CDW')",0.00125971785913612,True
"('PEP', 'YUM')",0.0012599455522924955,True
"('EQIX', 'MLM')",0.0012624451713768754,True
"('CBOE', 'FOXA')",0.001262466668750778,True
"('AIZ', 'WELL')",0.0012641066075789948,True
